team,player,PTS,GP,MIN,TS%,PIE,FTP%,REB,AST,STL,BLK,TOV,PF
Warriors,Stephen Curry,23.7,23,33.4,48.7,16.8,92.5,5.2,7.7,1.8,0.2,3.3,2.3
Warriors,Klay Thompson,21.7,22,34,44.9,17,86.7,3.7,3.5,1.3,0.9,2.2,1.8
Warriors,Draymond Green,13.4,23,33.1,46.2,10.3,77.3,8,3,1.2,1.2,2.1,3.3
Warriors,Marreese Speights,12,22,16.6,53.2,9.1,77.8,5.2,0.7,0.3,0.6,1.2,2.7
Warriors,Harrison Barnes,11.2,23,30.9,52.8,7.7,78.1,6.3,1.5,0.6,0.3,1,1.7
Warriors,Andrew Bogut,7.1,20,25.2,53.7,6.2,50,9.3,3,0.8,2.2,1.9,2.7
Warriors,Andre Iguodala,6.9,23,27.5,43.7,6.2,48.6,3.3,2.6,1,0.2,1.3,1.2
Warriors,David Lee,6,1,7,75,4,0,0,0,0,0,1,0
Warriors,Shaun Livingston,5.6,23,17.4,51.4,4.7,76,2,2.7,0.8,0.2,1.4,1.4
Warriors,Leandro Barbosa,5.4,20,13.2,46,5,75,1.3,1.1,0.7,0.2,0.7,1.6
Warriors,Festus Ezeli,3.5,17,11.3,57.9,2.2,60,2.9,0.2,0.2,0.8,1.1,2.2
Warriors,Justin Holiday,1.1,10,5,26.7,1.5,50,0.2,0.3,0.2,0.1,0.5,0.5
Warriors,Brandon Rush,0.8,12,8.8,19,1.8,0,0.9,0.3,0.1,0.4,0.5,0.7
Warriors,Ognjen Kuzmic,0.3,8,4,25,0.5,0,1.3,0,0,0.1,0.5,0.8
